area_id,region_id,area,region,date,flag
1,1,亚洲,中国,20200121,1
1,1,亚洲,中国,20200214,2
1,1,亚洲,中国,20200306,3
1,2,亚洲,以色列,20200320,1
1,3,亚洲,印度,20200323,1
1,4,亚洲,印度尼西亚,20200325,1
1,5,亚洲,新加坡,20200307,1
1,6,亚洲,日本,20200328,1
1,7,亚洲,泰国,20200320,1
1,8,亚洲,菲律宾,20200329,1
1,9,亚洲,韩国,20200221,1
1,9,亚洲,韩国,20200305,2
1,10,亚洲,香港,20200209,1
1,11,亚洲,马来西亚,20200316,1
2,12,欧洲,俄罗斯,20200323,1
2,13,欧洲,奥地利,20200312,1
2,13,欧洲,奥地利,20200328,2
2,14,欧洲,德国,20200306,1
2,15,欧洲,意大利,20200225,1
2,15,欧洲,意大利,20200328,2
2,16,欧洲,挪威,20200314,1
2,17,欧洲,比利时,20200314,1
2,18,欧洲,法国,20200306,1
2,19,欧洲,英国,20200313,1
2,20,欧洲,西班牙,20200307,1
3,21,北美洲,加拿大,20200317,1
3,22,北美洲,美国,20200310,1
4,23,南美洲,巴西,20200320,1
4,24,南美洲,阿根廷,20200327,1
5,25,大洋洲,新西兰,20200320,1
5,26,大洋洲,澳大利亚,20200320,1
