date,new_confirmed1,new_confirmed2,new_confirmed3,new_confirmed4,new_confirmed5,new_confirmed6,new_confirmed7,new_confirmed8,new_confirmed9,new_confirmed10,new_confirmed11,new_confirmed12,new_confirmed13,new_confirmed14,new_confirmed15,new_confirmed16,new_confirmed17,new_confirmed18,new_confirmed19,new_confirmed20,new_confirmed21,new_confirmed22,new_confirmed23,new_confirmed24,new_confirmed25,new_confirmed26,new_confirmed27,new_confirmed28,total_confirmed1,total_confirmed2,total_confirmed3,total_confirmed4,total_confirmed5,total_confirmed6,total_confirmed7,total_confirmed8,total_confirmed9,total_confirmed10,total_confirmed11,total_confirmed12,total_confirmed13,total_confirmed14,total_confirmed15,total_confirmed16,total_confirmed17,total_confirmed18,total_confirmed19,total_confirmed20,total_confirmed21,total_confirmed22,total_confirmed23,total_confirmed24,total_confirmed25,total_confirmed26,total_confirmed27,total_confirmed28,new_deaths1,new_deaths2,new_deaths3,new_deaths4,new_deaths5,new_deaths6,new_deaths7,new_deaths8,new_deaths9,new_deaths10,new_deaths11,new_deaths12,new_deaths13,new_deaths14,new_deaths15,new_deaths16,new_deaths17,new_deaths18,new_deaths19,new_deaths20,new_deaths21,new_deaths22,new_deaths23,new_deaths24,new_deaths25,new_deaths26,new_deaths27,new_deaths28,total_deaths1,total_deaths2,total_deaths3,total_deaths4,total_deaths5,total_deaths6,total_deaths7,total_deaths8,total_deaths9,total_deaths10,total_deaths11,total_deaths12,total_deaths13,total_deaths14,total_deaths15,total_deaths16,total_deaths17,total_deaths18,total_deaths19,total_deaths20,total_deaths21,total_deaths22,total_deaths23,total_deaths24,total_deaths25,total_deaths26,total_deaths27,total_deaths28,new_recovered3,new_recovered28,total_recovered3,total_recovered28,new_suspected3,total_suspected3,new_severed3,existing_severed3
2020-04-03,75853,75775,19,233,104,86,28395,49,2066,248,208,1109,6174,329,322,4668,771,4244,8102,1384,620,418,270,1119,51,113,79,43,"972,303.00","889,501.00","81,639.00","2,617.00","1,875.00","10,062.00","245,658.00","1,049.00","58,327.00","5,224.00","3,116.00","10,114.00","79,696.00","1,965.00","2,633.00","115,242.00","3,548.00","33,722.00","110,238.00","15,348.00","6,211.00","11,129.00","4,935.00","6,836.00",774.00,"1,790.00","1,133.00",845.00,"4,823.00","4,819.00",4.00,8.00,3.00,5.00,918.00,1.00,471.00,2.00,5.00,22.00,145.00,12.00,11.00,760.00,6.00,389.00,950.00,183.00,8.00,12.00,10.00,40.00,0.00,13.00,4.00,0.00,"50,322.00","46,991.00","3,326.00",65.00,15.00,174.00,"6,069.00",4.00,"4,490.00",23.00,50.00,127.00,"1,017.00",50.00,107.00,"13,917.00",30.00,"2,921.00","10,003.00","1,011.00",29.00,158.00,42.00,241.00,1.00,170.00,31.00,4.00,180.00,19.00,"76,751.00",173.00,11.00,114.00,-48.00,331.00
2020-04-02,72839,72746,31,206,0,89,27174,74,4784,269,142,1310,6156,0,227,4782,440,4324,7719,1189,462,529,218,1138,76,149,88,37,"896,450.00","813,726.00","81,620.00","2,384.00","1,771.00","9,976.00","217,263.00","1,000.00","56,261.00","4,976.00","2,908.00","9,005.00","73,522.00","1,636.00","2,311.00","110,574.00","2,777.00","29,478.00","102,136.00","13,964.00","5,591.00","10,711.00","4,665.00","5,717.00",723.00,"1,677.00","1,054.00",802.00,"4,924.00","4,918.00",4.00,0.00,0.00,4.00,"1,049.00",0.00,505.00,1.00,2.00,16.00,140.00,0.00,8.00,727.00,7.00,743.00,864.00,123.00,0.00,18.00,4.00,42.00,0.00,21.00,3.00,0.00,"45,526.00","42,199.00","3,322.00",57.00,12.00,169.00,"5,151.00",3.00,"4,019.00",21.00,45.00,105.00,872.00,38.00,96.00,"13,157.00",24.00,"2,532.00","9,053.00",828.00,21.00,146.00,32.00,201.00,1.00,157.00,27.00,4.00,163.00,7.00,"76,571.00",154.00,12.00,135.00,-50.00,379.00
2020-04-01,72736,72650,35,225,247,101,24215,47,7500,348,140,1378,5453,565,538,4053,500,3009,9222,876,298,564,221,323,47,114,146,51,"823,626.00","740,995.00","81,589.00","2,178.00","1,771.00","9,887.00","190,089.00",926.00,"51,477.00","4,707.00","2,766.00","7,695.00","67,366.00","1,636.00","2,084.00","105,792.00","2,337.00","25,154.00","94,417.00","12,775.00","5,129.00","10,182.00","4,447.00","4,579.00",647.00,"1,528.00",966.00,765.00,"4,193.00","4,186.00",6.00,1.00,3.00,3.00,924.00,0.00,497.00,2.00,6.00,23.00,149.00,9.00,10.00,839.00,8.00,381.00,849.00,192.00,4.00,20.00,2.00,23.00,0.00,14.00,4.00,0.00,"40,598.00","37,277.00","3,318.00",57.00,12.00,165.00,"4,102.00",3.00,"3,514.00",20.00,43.00,89.00,732.00,38.00,88.00,"12,430.00",17.00,"1,789.00","8,189.00",705.00,21.00,128.00,28.00,159.00,1.00,136.00,24.00,4.00,170.00,19.00,"76,408.00",147.00,20.00,153.00,-37.00,429.00
2020-03-31,57610,57512,36,87,0,125,22803,35,4335,393,156,662,4615,0,128,4050,303,2619,6398,1063,584,805,124,352,48,129,75,32,"750,890.00","668,345.00","81,554.00","1,953.00","1,524.00","9,786.00","165,874.00",879.00,"43,977.00","4,359.00","2,626.00","6,317.00","61,913.00","1,071.00","1,546.00","101,739.00","1,837.00","22,145.00","85,195.00","11,899.00","4,831.00","9,618.00","4,226.00","4,256.00",600.00,"1,414.00",820.00,714.00,"3,301.00","3,297.00",7.00,2.00,0.00,4.00,665.00,0.00,415.00,2.00,3.00,5.00,128.00,0.00,7.00,810.00,0.00,180.00,812.00,82.00,2.00,22.00,4.00,22.00,0.00,8.00,1.00,0.00,"36,405.00","33,091.00","3,312.00",56.00,9.00,162.00,"3,178.00",3.00,"3,017.00",18.00,37.00,66.00,583.00,29.00,78.00,"11,591.00",9.00,"1,408.00","7,340.00",513.00,17.00,108.00,26.00,136.00,1.00,122.00,20.00,4.00,186.00,4.00,"76,238.00",128.00,26.00,172.00,-62.00,466.00
2020-03-30,58411,58305,48,173,136,78,18395,42,2497,0,150,898,4751,92,343,5217,0,2433,6549,1702,382,522,257,487,76,130,55,41,"693,224.00","610,777.00","81,518.00","1,866.00","1,524.00","9,661.00","143,071.00",844.00,"39,642.00","3,966.00","2,470.00","5,655.00","57,298.00","1,071.00","1,418.00","97,689.00","1,534.00","19,526.00","78,797.00","10,836.00","4,247.00","8,813.00","4,102.00","3,904.00",552.00,"1,285.00",745.00,682.00,"3,215.00","3,211.00",1.00,2.00,2.00,6.00,317.00,1.00,291.00,0.00,7.00,6.00,66.00,4.00,3.00,758.00,2.00,209.00,838.00,78.00,0.00,18.00,2.00,22.00,0.00,12.00,2.00,0.00,"33,106.00","29,796.00","3,305.00",54.00,9.00,158.00,"2,513.00",3.00,"2,602.00",16.00,34.00,61.00,455.00,29.00,71.00,"10,781.00",10.00,"1,228.00","6,528.00",431.00,15.00,86.00,22.00,114.00,1.00,114.00,19.00,4.00,282.00,6.00,"76,052.00",124.00,44.00,183.00,-105.00,528.00
2020-03-29,63159,63033,31,194,252,105,19837,70,4603,331,159,739,3965,255,272,5974,270,2546,8189,1850,405,594,264,502,60,109,101,59,"634,835.00","552,479.00","81,470.00","1,693.00","1,388.00","9,583.00","124,676.00",802.00,"37,145.00","3,966.00","2,320.00","4,757.00","52,547.00",979.00,"1,075.00","92,472.00","1,534.00","17,093.00","72,248.00","9,134.00","3,865.00","8,291.00","3,845.00","3,417.00",476.00,"1,155.00",690.00,641.00,"3,464.00","3,459.00",4.00,3.00,2.00,8.00,480.00,0.00,319.00,2.00,1.00,16.00,64.00,8.00,14.00,887.00,4.00,260.00,832.00,64.00,69.00,0.00,4.00,15.00,1.00,15.00,5.00,0.00,"29,957.00","26,651.00","3,304.00",52.00,7.00,152.00,"2,196.00",2.00,"2,311.00",16.00,27.00,55.00,389.00,25.00,68.00,"10,023.00",8.00,"1,019.00","5,690.00",353.00,81.00,68.00,20.00,92.00,1.00,102.00,17.00,4.00,322.00,6.00,"75,770.00",118.00,17.00,168.00,-109.00,633.00
2020-03-28,62514,62362,45,112,0,146,18796,49,3756,650,130,463,6294,0,96,5959,228,2885,7871,1049,425,668,425,482,78,153,87,64,"571,678.00","489,448.00","81,439.00","1,499.00","1,136.00","9,478.00","104,839.00",732.00,"32,542.00","3,635.00","2,161.00","4,018.00","48,582.00",724.00,803.00,"86,498.00","1,264.00","14,547.00","64,059.00","7,284.00","3,460.00","7,697.00","3,581.00","2,915.00",416.00,"1,046.00",589.00,582.00,"3,159.00","3,156.00",5.00,3.00,0.00,5.00,412.00,0.00,297.00,1.00,3.00,4.00,72.00,0.00,9.00,971.00,1.00,181.00,769.00,69.00,2.00,16.00,2.00,20.00,0.00,9.00,4.00,0.00,"26,494.00","23,193.00","3,300.00",49.00,5.00,144.00,"1,716.00",2.00,"1,992.00",14.00,26.00,39.00,325.00,17.00,54.00,"9,136.00",4.00,759.00,"4,858.00",289.00,12.00,68.00,16.00,77.00,0.00,87.00,12.00,4.00,477.00,1.00,"75,448.00",112.00,28.00,174.00,-179.00,742.00
2020-03-27,46484,46367,54,96,202,91,16820,52,3866,186,235,146,5780,75,71,6153,196,2129,8578,1298,666,1141,240,0,76,103,115,65,"509,164.00","427,086.00","81,394.00","1,387.00","1,136.00","9,332.00","86,043.00",683.00,"28,786.00","2,985.00","2,031.00","3,555.00","42,288.00",724.00,707.00,"80,539.00","1,036.00","11,662.00","56,188.00","6,235.00","3,035.00","7,029.00","3,156.00","2,433.00",338.00,893.00,502.00,518.00,"2,501.00","2,496.00",3.00,1.00,1.00,8.00,250.00,0.00,364.00,2.00,4.00,0.00,55.00,4.00,7.00,660.00,1.00,115.00,655.00,42.00,5.00,18.00,2.00,0.00,0.00,20.00,2.00,0.00,"23,335.00","20,037.00","3,295.00",46.00,5.00,139.00,"1,304.00",2.00,"1,695.00",13.00,23.00,35.00,253.00,17.00,45.00,"8,165.00",3.00,578.00,"4,089.00",220.00,10.00,52.00,14.00,57.00,0.00,78.00,8.00,4.00,383.00,1.00,"74,971.00",111.00,29.00,184.00,-113.00,921.00
2020-03-26,49219,49106,55,98,0,104,13981,73,2895,547,172,1670,4954,87,84,5210,182,1452,7937,668,199,606,350,232,73,104,86,43,"462,684.00","380,723.00","81,340.00","1,291.00",934.00,"9,241.00","69,223.00",631.00,"24,920.00","2,799.00","1,796.00","3,409.00","36,508.00",649.00,636.00,"74,386.00",840.00,"9,533.00","47,610.00","4,937.00","2,369.00","5,888.00","2,916.00","2,433.00",262.00,790.00,387.00,453.00,"2,401.00","2,395.00",5.00,2.00,0.00,5.00,253.00,0.00,231.00,3.00,3.00,10.00,49.00,4.00,3.00,685.00,2.00,41.00,738.00,56.00,0.00,4.00,2.00,11.00,0.00,3.00,2.00,0.00,"20,834.00","17,541.00","3,292.00",45.00,4.00,131.00,"1,054.00",2.00,"1,331.00",11.00,19.00,35.00,198.00,13.00,38.00,"7,505.00",2.00,463.00,"3,434.00",178.00,5.00,34.00,12.00,57.00,0.00,58.00,6.00,4.00,537.00,4.00,"74,588.00",110.00,49.00,189.00,-201.00,"1,034.00"
2020-03-25,40712,40611,67,65,107,100,8799,51,2410,543,106,307,2342,128,90,5249,220,1427,6584,526,932,796,195,655,87,107,35,24,"413,467.00","331,619.00","81,285.00","1,193.00",934.00,"9,137.00","55,242.00",558.00,"22,025.00","2,252.00","1,624.00","1,739.00","31,554.00",562.00,552.00,"69,176.00",658.00,"8,081.00","39,673.00","4,269.00","2,170.00","5,282.00","2,566.00","2,201.00",189.00,686.00,301.00,410.00,"2,202.00","2,198.00",6.00,1.00,0.00,6.00,215.00,0.00,240.00,1.00,2.00,5.00,23.00,0.00,2.00,743.00,0.00,87.00,514.00,34.00,4.00,5.00,2.00,21.00,0.00,6.00,0.00,0.00,"18,433.00","15,146.00","3,287.00",43.00,4.00,126.00,801.00,2.00,"1,100.00",8.00,16.00,25.00,149.00,9.00,35.00,"6,820.00",0.00,422.00,"2,696.00",122.00,5.00,30.00,10.00,46.00,0.00,55.00,4.00,4.00,401.00,4.00,"74,051.00",106.00,58.00,159.00,-164.00,"1,235.00"
