date,new_confirmed1,new_confirmed2,new_confirmed3,new_confirmed4,new_confirmed5,new_confirmed6,new_confirmed7,new_confirmed8,new_confirmed9,new_confirmed10,new_confirmed11,new_confirmed12,new_confirmed13,new_confirmed14,new_confirmed15,new_confirmed16,new_confirmed17,new_confirmed18,new_confirmed19,new_confirmed20,new_confirmed21,new_confirmed22,new_confirmed23,new_confirmed24,new_confirmed25,new_confirmed26,new_confirmed27,new_confirmed28,total_confirmed1,total_confirmed2,total_confirmed3,total_confirmed4,total_confirmed5,total_confirmed6,total_confirmed7,total_confirmed8,total_confirmed9,total_confirmed10,total_confirmed11,total_confirmed12,total_confirmed13,total_confirmed14,total_confirmed15,total_confirmed16,total_confirmed17,total_confirmed18,total_confirmed19,total_confirmed20,total_confirmed21,total_confirmed22,total_confirmed23,total_confirmed24,total_confirmed25,total_confirmed26,total_confirmed27,total_confirmed28,new_deaths1,new_deaths2,new_deaths3,new_deaths4,new_deaths5,new_deaths6,new_deaths7,new_deaths8,new_deaths9,new_deaths10,new_deaths11,new_deaths12,new_deaths13,new_deaths14,new_deaths15,new_deaths16,new_deaths17,new_deaths18,new_deaths19,new_deaths20,new_deaths21,new_deaths22,new_deaths23,new_deaths24,new_deaths25,new_deaths26,new_deaths27,new_deaths28,total_deaths1,total_deaths2,total_deaths3,total_deaths4,total_deaths5,total_deaths6,total_deaths7,total_deaths8,total_deaths9,total_deaths10,total_deaths11,total_deaths12,total_deaths13,total_deaths14,total_deaths15,total_deaths16,total_deaths17,total_deaths18,total_deaths19,total_deaths20,total_deaths21,total_deaths22,total_deaths23,total_deaths24,total_deaths25,total_deaths26,total_deaths27,total_deaths28,new_recovered3,new_recovered4,new_recovered5,new_recovered6,new_recovered7,new_recovered8,new_recovered9,new_recovered10,new_recovered11,new_recovered12,new_recovered13,new_recovered14,new_recovered15,new_recovered16,new_recovered17,new_recovered18,new_recovered19,new_recovered20,new_recovered21,new_recovered22,new_recovered23,new_recovered24,new_recovered25,new_recovered26,new_recovered27,new_recovered28,total_recovered3,total_recovered4,total_recovered5,total_recovered6,total_recovered7,total_recovered8,total_recovered9,total_recovered10,total_recovered11,total_recovered12,total_recovered13,total_recovered14,total_recovered15,total_recovered16,total_recovered17,total_recovered18,total_recovered19,total_recovered20,total_recovered21,total_recovered22,total_recovered23,total_recovered24,total_recovered25,total_recovered26,total_recovered27,total_recovered28,new_suspected3,total_suspected3,new_severed3,existing_severed3
2020-07-27,254274,254085,217,35,0,0,59531,0,2551,14,0,682,210,46484,0,168,0,686,2120,0,1359,0,7,23284,0,0,4890,145,"16,114,449.00","16,027,421.00","87,245.00","31,122.00","3,295.00","14,175.00","4,431,370.00","50,838.00","220,352.00","14,949.00","8,904.00","116,471.00","207,112.00","1,482,504.00","82,040.00","246,286.00","816,680.00","301,706.00","325,862.00","66,026.00","63,985.00","20,558.00","9,132.00","2,442,375.00","1,556.00","100,303.00","167,416.00","2,778.00","5,490.00","5,490.00",4.00,0.00,0.00,0.00,556.00,0.00,17.00,0.00,0.00,11.00,0.00,636.00,0.00,5.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,614.00,0.00,0.00,103.00,4.00,"646,641.00","641,982.00","4,663.00",998.00,58.00,299.00,"150,404.00",27.00,"30,212.00",161.00,124.00,"8,945.00","9,125.00","33,463.00","1,945.00","35,112.00","13,334.00","45,844.00","28,752.00","9,821.00",474.00,713.00,255.00,"87,618.00",22.00,"4,838.00","3,059.00",22.00,7.00,364.00,0.00,0.00,"43,449.00",171.00,267.00,0.00,0,478,44,34444,0,147,0,2,0,0,56,0,0,33728,0,0,0,31,80906,21970,3111,12905,2133578,45692,81212,9311,8601,101447,190314,953080,26446,198593,602249,1436,196958,17439,27133,18246,8752,1846641,1513,58173,72575,1486,0.00,1.00,-1.00,20.00
2020-07-26,200625,200446,189,579,4,25,56130,469,0,532,7,265,563,48932,1592,0,5607,0,2120,299,1238,86,14,24578,0,1525,4192,128,"15,785,641.00","15,698,802.00","87,028.00","31,087.00","3,295.00","14,175.00","4,371,839.00","50,838.00","217,801.00","14,935.00","8,904.00","115,789.00","206,902.00","1,436,020.00","82,040.00","246,118.00","816,680.00","301,020.00","323,742.00","66,026.00","62,626.00","20,558.00","9,125.00","2,419,091.00","1,556.00","100,303.00","162,526.00","2,633.00","4,823.00","4,821.00",0.00,0.00,0.00,1.00,450.00,0.00,0.00,6.00,0.00,5.00,1.00,704.00,13.00,0.00,85.00,0.00,0.00,0.00,9.00,1.00,0.00,555.00,0.00,57.00,63.00,,"640,016.00","635,357.00","4,659.00",998.00,58.00,299.00,"149,848.00",27.00,"30,195.00",161.00,124.00,"8,934.00","9,125.00","32,827.00","1,945.00","35,107.00","13,334.00","45,837.00","28,752.00","9,821.00",473.00,713.00,255.00,"87,004.00",22.00,"4,838.00","2,956.00",18.00,50.00,0.00,2.00,15.00,"28,437.00",0.00,0.00,141.00,1,204,240,31512,336,0,3077,0,0,14,118,37,78,27554,0,1518,4553,40,80899,21606,3111,12905,2090129,45521,80945,9311,8601,100969,190270,918636,26446,198446,602249,1434,196958,17439,27077,18246,8752,1812913,1513,58173,72575,1455,0.00,3.00,3.00,21.00
2020-07-25,284083,283923,179,841,9,58,67413,481,4,453,13,149,282,50065,2036,254,5741,750,2121,528,1913,134,14,107038,0,1492,4814,133,"15,581,009.00","15,494,349.00","86,839.00","30,508.00","3,291.00","14,150.00","4,315,709.00","50,369.00","217,801.00","14,403.00","8,897.00","115,524.00","206,339.00","1,387,088.00","80,448.00","246,118.00","811,073.00","301,020.00","321,622.00","65,727.00","61,388.00","20,472.00","9,111.00","2,394,513.00","1,556.00","98,778.00","158,334.00","2,505.00","6,270.00","6,269.00",2.00,3.00,0.00,0.00,908.00,0.00,0.00,10.00,1.00,2.00,0.00,705.00,35.00,5.00,77.00,14.00,0.00,4.00,16.00,0.00,0.00,"1,211.00",0.00,67.00,46.00,2.00,"635,173.00","630,516.00","4,659.00",998.00,58.00,298.00,"149,398.00",27.00,"30,195.00",155.00,124.00,"8,929.00","9,124.00","32,123.00","1,932.00","35,107.00","13,249.00","45,837.00","28,752.00","9,821.00",464.00,712.00,255.00,"86,449.00",22.00,"4,781.00","2,893.00",18.00,67.00,195.00,0.00,24.00,"33,800.00",169.00,2.00,153.00,6,137,122,37125,358,126,3108,7,0,31,162,85,0,33437,0,1301,0,48,80849,21606,3109,12890,2061692,45521,80945,9170,8600,100765,190030,887124,26110,198446,599172,1434,196958,17425,26959,18209,8674,1785359,1513,56655,68022,1455,2.00,3.00,7.00,18.00
2020-07-24,284196,284057,160,793,3,113,77978,513,1130,355,23,880,657,48892,1968,274,5833,771,2255,352,916,124,9,0,0,1868,5493,123,"15,296,926.00","15,210,426.00","86,660.00","29,667.00","3,282.00","14,092.00","4,248,296.00","49,888.00","217,797.00","13,950.00","8,884.00","115,375.00","206,057.00","1,337,023.00","78,412.00","245,864.00","805,332.00","300,270.00","319,501.00","65,199.00","59,475.00","20,338.00","9,097.00","2,287,475.00","1,556.00","97,286.00","153,520.00","2,372.00","9,753.00","9,752.00",1.00,1.00,0.00,0.00,"1,141.00",0.00,10.00,5.00,0.00,10.00,7.00,761.00,18.00,5.00,146.00,61.00,0.00,5.00,2.00,1.00,0.00,"1,156.00",0.00,49.00,125.00,1.00,"628,903.00","624,247.00","4,657.00",995.00,58.00,298.00,"148,490.00",27.00,"30,195.00",145.00,123.00,"8,927.00","9,124.00","31,418.00","1,897.00","35,102.00","13,172.00","45,823.00","28,752.00","9,817.00",448.00,712.00,255.00,"85,238.00",22.00,"4,714.00","2,847.00",16.00,44.00,238.00,2.00,49.00,"48,275.00",337.00,343.00,88.00,17,628,247,32514,1250,128,8336,2,0,25,910,82,0,87531,0,1409,2575,28,80782,21411,3109,12866,2027892,45352,80943,9017,8594,100628,189908,849999,25752,198320,596064,1427,196958,17394,26797,18124,8674,1751922,1513,55354,68022,1407,2.00,2.00,-1.00,11.00
2020-07-23,247225,247090,139,782,10,41,69443,277,1062,289,21,538,820,48446,2054,252,5779,778,2615,220,1811,115,17,59961,1,1761,6127,118,"15,012,731.00","14,926,370.00","86,500.00","28,874.00","3,279.00","13,979.00","4,170,318.00","49,375.00","216,667.00","13,595.00","8,861.00","114,495.00","205,400.00","1,288,131.00","76,444.00","245,590.00","799,499.00","299,499.00","317,246.00","64,847.00","58,559.00","20,214.00","9,088.00","2,287,475.00","1,556.00","95,418.00","148,027.00","2,249.00","7,097.00","7,097.00",1.00,2.00,0.00,1.00,"1,166.00",0.00,5.00,7.00,0.00,2.00,8.00,755.00,8.00,5.00,153.00,123.00,0.00,4.00,13.00,0.00,0.00,"1,311.00",0.00,89.00,105.00,1.00,"619,150.00","614,495.00","4,656.00",994.00,58.00,298.00,"147,349.00",27.00,"30,185.00",140.00,123.00,"8,917.00","9,117.00","30,657.00","1,879.00","35,097.00","13,026.00","45,762.00","28,752.00","9,812.00",446.00,711.00,255.00,"84,082.00",22.00,"4,665.00","2,722.00",15.00,53.00,295.00,2.00,59.00,"36,980.00",0.00,516.00,154.00,3,411,551,33326,119,350,8433,9,0,22,2327,99,0,44078,2,1781,2632,35,80738,21173,3107,12817,1979617,45015,80600,8929,8577,100000,189661,817485,24502,198192,587728,1425,196958,17369,25887,18042,8674,1664391,1513,53945,65447,1379,1.00,2.00,1.00,12.00
2020-07-22,202726,202652,135,1002,8,59,71967,354,0,410,9,424,433,45579,2121,306,5874,770,1357,369,2085,170,12,67860,0,1906,5782,113,"14,765,256.00","14,679,030.00","86,361.00","28,092.00","3,269.00","13,938.00","4,100,875.00","49,098.00","215,605.00","13,306.00","8,840.00","113,957.00","204,580.00","1,239,685.00","74,390.00","245,338.00","793,720.00","298,721.00","314,631.00","64,627.00","56,748.00","20,099.00","9,071.00","2,227,514.00","1,555.00","93,657.00","141,900.00","2,131.00","4,286.00","4,284.00",0.00,4.00,0.00,0.00,"1,205.00",0.00,0.00,5.00,0.00,7.00,7.00,"1,130.00",28.00,10.00,151.00,53.00,0.00,3.00,3.00,0.00,0.00,"1,284.00",0.00,117.00,111.00,,"612,054.00","607,399.00","4,655.00",992.00,58.00,297.00,"146,183.00",27.00,"30,180.00",133.00,123.00,"8,915.00","9,109.00","29,902.00","1,871.00","35,092.00","12,873.00","45,639.00","28,752.00","9,808.00",433.00,711.00,255.00,"82,771.00",22.00,"4,576.00","2,617.00",14.00,35.00,396.00,0.00,60.00,"55,847.00",220.00,0.00,122.00,8,341,529,31875,760,214,8311,2,0,17,640,94,536,56931,5,1909,2284,20,80685,20878,3105,12758,1942637,45015,80084,8775,8574,99589,189110,784159,24383,197842,579295,1416,196958,17347,23560,17943,8674,1620313,1511,52164,62815,1344,3.00,4.00,-5.00,11.00
2020-07-21,213637,213553,74,762,6,63,67479,310,1582,468,16,595,582,39184,1505,280,5806,562,1358,164,1976,102,10,41008,0,1882,5344,60,"14,562,550.00","14,476,398.00","86,226.00","27,090.00","3,261.00","13,879.00","4,028,908.00","48,744.00","215,605.00","12,896.00","8,831.00","113,533.00","204,147.00","1,194,106.00","72,269.00","245,032.00","787,846.00","297,951.00","313,274.00","64,258.00","54,663.00","19,929.00","9,059.00","2,159,654.00","1,555.00","91,751.00","136,118.00","2,018.00","4,083.00","4,083.00",2.00,0.00,0.00,1.00,"1,165.00",0.00,0.00,2.00,0.00,6.00,4.00,671.00,6.00,9.00,161.00,79.00,0.00,0.00,8.00,0.00,0.00,"1,367.00",0.00,139.00,133.00,2.00,"607,781.00","603,128.00","4,655.00",988.00,58.00,297.00,"144,978.00",27.00,"30,180.00",128.00,123.00,"8,908.00","9,102.00","28,772.00","1,843.00","35,082.00","12,722.00","45,586.00","28,752.00","9,805.00",430.00,711.00,255.00,"81,487.00",22.00,"4,459.00","2,506.00",14.00,45.00,481.00,0.00,55.00,"36,801.00",211.00,416.00,109.00,4,273,398,27581,342,197,9587,1,0,9,538,133,0,41939,0,1789,4618,22,80650,20482,3105,12698,1886790,44795,80084,8653,8566,99248,188581,752284,23623,197628,570984,1414,196958,17330,22920,17849,8138,1563382,1506,50255,60531,1324,0.00,1.00,-1.00,6.00
2020-07-20,229780,229649,84,636,5,45,62879,399,2080,358,15,770,612,36810,1866,318,5828,1025,1527,201,1973,84,21,20257,1,1655,4019,73,"14,348,858.00","14,262,790.00","86,152.00","26,328.00","3,255.00","13,816.00","3,961,429.00","48,434.00","214,023.00","12,428.00","8,815.00","112,938.00","203,565.00","1,154,922.00","70,764.00","244,752.00","782,040.00","297,389.00","311,916.00","64,094.00","52,687.00","19,827.00","9,049.00","2,118,646.00","1,555.00","89,869.00","130,774.00","1,958.00","5,111.00","5,111.00",0.00,0.00,0.00,0.00,524.00,0.00,25.00,3.00,0.00,6.00,4.00,596.00,2.00,28.00,153.00,122.00,0.00,5.00,7.00,0.00,0.00,632.00,0.00,81.00,113.00,,"603,691.00","599,038.00","4,653.00",988.00,58.00,296.00,"143,813.00",27.00,"30,180.00",126.00,123.00,"8,902.00","9,098.00","28,101.00","1,837.00","35,073.00","12,561.00","45,507.00","28,752.00","9,805.00",422.00,711.00,255.00,"80,120.00",22.00,"4,320.00","2,373.00",12.00,26.00,398.00,9.00,71.00,"47,912.00",498.00,297.00,149.00,7,411,568,24303,209,482,8753,0,0,32,507,57,0,31808,0,1489,1808,8,80605,20001,3105,12643,1849989,44584,79668,8544,8562,98975,188183,724703,23281,197431,561397,1413,196958,17321,22382,17716,8138,1521443,1506,48466,55913,1302,0.00,1.00,2.00,7.00
2020-07-19,166735,166655,131,418,1,26,65279,123,0,268,21,293,354,40239,1442,218,5901,732,1527,187,1139,88,0,23529,1,1693,4231,108,"14,043,176.00","13,957,239.00","86,068.00","25,692.00","3,250.00","13,771.00","3,898,550.00","48,035.00","211,943.00","12,070.00","8,800.00","112,168.00","202,953.00","1,118,112.00","68,898.00","244,434.00","776,212.00","296,364.00","310,389.00","63,893.00","50,714.00","19,743.00","9,028.00","2,098,389.00","1,554.00","88,214.00","126,755.00","1,885.00","4,496.00","4,495.00",0.00,2.00,0.00,1.00,412.00,0.00,0.00,1.00,0.00,4.00,3.00,675.00,4.00,3.00,85.00,27.00,0.00,0.00,9.00,0.00,0.00,716.00,0.00,96.00,14.00,,"597,583.00","592,930.00","4,653.00",988.00,58.00,296.00,"143,289.00",27.00,"30,155.00",123.00,123.00,"8,896.00","9,094.00","27,505.00","1,835.00","35,045.00","12,408.00","45,385.00","28,752.00","9,800.00",415.00,711.00,255.00,"79,488.00",22.00,"4,239.00","2,260.00",12.00,44.00,392.00,0.00,16.00,"27,284.00",253.00,0.00,121.00,2,128,215,22738,607,143,3257,0,0,0,435,60,0,42227,0,1576,0,20,80579,19603,3096,12572,1802077,44086,79371,8395,8555,98564,187615,700400,23072,196949,552644,1413,196958,17289,21875,17659,8138,1489635,1506,46977,54105,1294,1.00,4.00,2.00,5.00
2020-07-18,259848,259766,80,514,3,34,63259,257,0,361,15,316,173,37411,2152,0,6096,1,1527,207,2116,82,0,28532,3,1639,3223,64,"13,876,441.00","13,790,584.00","85,937.00","25,274.00","3,249.00","13,745.00","3,833,271.00","47,912.00","211,943.00","11,802.00","8,779.00","111,875.00","202,599.00","1,077,873.00","67,456.00","244,216.00","770,311.00","295,632.00","308,862.00","63,706.00","49,575.00","19,655.00","9,028.00","2,074,860.00","1,553.00","86,521.00","122,524.00","1,777.00","7,360.00","7,359.00",1.00,1.00,0.00,1.00,813.00,0.00,0.00,3.00,1.00,8.00,1.00,543.00,58.00,0.00,95.00,0.00,0.00,0.00,14.00,0.00,0.00,921.00,0.00,127.00,42.00,1.00,"593,087.00","588,435.00","4,653.00",986.00,58.00,295.00,"142,877.00",27.00,"30,155.00",122.00,123.00,"8,892.00","9,091.00","26,830.00","1,831.00","35,042.00","12,323.00","45,358.00","28,752.00","9,800.00",406.00,711.00,255.00,"78,772.00",22.00,"4,143.00","2,246.00",12.00,27.00,0.00,0.00,37.00,"34,059.00",256.00,0.00,112.00,7,155,200,23583,398,0,3478,10,0,0,696,98,0,18675,0,2133,1498,10,80535,19211,3096,12556,1774793,43833,79371,8274,8553,98436,187400,677662,22465,196806,549387,1413,196958,17289,21440,17599,8138,1447408,1506,45401,54105,1274,1.00,4.00,0.00,3.00
