stockcode,stockname,date,lagclose,close,marketvalue,region
AEX.GI,荷兰AEX,20190102,487.88,486.57,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190103,486.57,480.41,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190104,480.41,492.01,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190107,492.01,491.75,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190108,491.75,493.69,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190109,493.69,496.21,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190110,496.21,497.77,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190111,497.77,498.65,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190114,498.65,494.99,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190115,494.99,498.2,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190116,498.2,499.87,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190117,499.87,499.84,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190118,499.84,509.7,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190121,509.7,509.88,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190122,509.88,506.75,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190123,506.75,507.46,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190124,507.46,510.08,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190125,510.08,515.1,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190128,515.1,510.88,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190129,510.88,515,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190130,515,518.48,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190131,518.48,520.63,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190201,520.63,523.24,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190204,523.24,525.68,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190205,525.68,532.49,7.66392E+12,荷兰
AEX.GI,荷兰AEX,20190206,532.49,536.63,7.66392E+12,荷兰
